Id,Title,ViewCount,AnswerCount,FavoriteCount
"52704","How do I discard unstaged changes in Git?","2290003","32","1331"
"46898","How do I efficiently iterate over each entry in a Java Map?","2288604","39","764"
"53513","How do I check if a list is empty?","2278401","30","547"
"2647867","How to determine if variable is 'undefined' or 'null'?","2261353","23","363"
"613183","How do I sort a dictionary by value?","2256602","34","1117"
"1232040","How do I empty an array in JavaScript?","2255522","18","597"
"4907843","Open a URL in a new tab (and not a new window) using JavaScript","2242786","26","303"
"6677035","jQuery scroll to element","2242438","29","580"
"4716503","Reading a plain text file in Java","2236071","25","292"
"38549","What is the difference between ""INNER JOIN"" and ""OUTER JOIN""?","2230418","24","2328"
"627435","How to remove an element from a list by index?","2227294","18","200"
"951021","What is the JavaScript version of sleep()?","2219929","74","466"
"134845","Which ""href"" value should I use for JavaScript links, ""#"" or ""javascript:void(0)""?","2207928","54","1240"
"4105331","How do I convert from int to String?","2205025","19","171"
"3518002","How can I set the default value for an HTML <select> element?","2195367","22","151"
"339923","Set cellpadding and cellspacing in CSS?","2189705","26","494"
"6797984","How do I lowercase a string in Python?","2161333","5","149"
"388242","The Definitive C++ Book Guide and List","2154472","1","9798"
"4088467","Get the value in an input text box","2150286","11","172"
"3029422","How do I auto-resize an image to fit a 'div' container?","2147485","31","317"
"630453","PUT vs. POST in REST","2119525","33","2173"
"236129","How do I iterate over the words of a string?","2110774","76","1288"
"9537392","Git fetch remote branch","2081411","29","686"
"11346283","Renaming columns in pandas","2078792","22","411"
"194852","How to concatenate text from multiple rows into a single text string in SQL server?","2076014","45","536"
"3390396","How to check for ""undefined"" in JavaScript?","2075498","16","557"
"10873295","Error message ""Forbidden You don't have permission to access / on this server""","2075063","34","221"
"402504","How to determine a Python variable's type?","2073146","16","176"
"205736","Get list of all tables in Oracle?","2057437","20","256"
"11304895","How to copy a folder from remote to local using scp?","2055476","11","615"
"61212","How to remove local (untracked) files from the current Git working tree?","2053337","35","1594"
"470617","How do I get the current date and time in PHP?","2038472","36","139"
"409784","What's the simplest way to print a Java array?","2037370","32","434"
"231767","What does the ""yield"" keyword do?","2028349","38","5428"
"1414365","Disable/enable an input with jQuery?","2025300","17","295"
"5618878","How to convert list to string","2024563","3","207"
"2706500","How do I generate a random int number?","2020781","29","165"
"18153234","Center a column using Twitter Bootstrap 3","2018654","34","368"
"596351","How can I know which radio button is selected via jQuery?","2016481","34","366"
"5905054","How can I recursively find all files in current and subfolders based on wildcard matching?","2016310","14","360"
"11832914","Round to at most 2 decimal places (only if necessary)","2006462","66","380"
"1338728","Delete commits from a branch in Git","1999013","28","1045"
"2047465","How can I delete a file from git repo?","1992306","18","501"
"406192","Get current URL with jQuery?","1983811","30","377"
"208105","How do I remove a property from a JavaScript object?","1982075","38","925"
"13343566","Set select option 'selected', by value","1979001","24","117"
"5887709","Getting random numbers in Java","1959092","2","115"
"309424","How do I read / convert an InputStream into a String in Java?","1946622","59","1094"
"1027354","I need an unordered list without any bullets","1944277","27","211"
"11828270","How do I exit the Vim editor?","1943401","12","829"
"6667201","How to define a two-dimensional array in Python","1925419","25","220"
"1519006","How do you create a remote Git branch?","1923502","17","1124"
"1720421","How do I concatenate two lists in Python?","1919954","25","258"
"1643227","Get selected text from a drop-down list (select box) using jQuery","1917233","31","298"
"17071871","Select rows from a DataFrame based on values in a column in pandas","1915402","9","853"
"1951742","How to symlink a file in Linux?","1915177","18","464"
"11563638","How do I get the value of text input field using JavaScript?","1913135","12","230"
"215497","What is the difference between public, protected, package-private and private in Java?","1911862","24","1246"
"918886","How do I split a string on a delimiter in Bash?","1901761","34","504"
"332289","How do you change the size of figures drawn with matplotlib?","1871805","14","298"
"17271319","How do I install pip on macOS or OS X?","1861846","21","397"
"2389361","Undo a Git merge that hasn't been pushed yet","1854800","28","1040"
"6159900","Correct way to write line to file?","1852236","11","172"
"4935632","Parse JSON in JavaScript?","1840019","16","354"
"4037939","PowerShell says ""execution of scripts is disabled on this system.""","1835315","22","376"
"979975","How to get the value from the GET parameters?","1823328","54","324"
"1168807","How can I add a key/value pair to a JavaScript object?","1820149","23","333"
"966225","How can I create a two dimensional array in JavaScript?","1817056","42","233"
"244777","Can comments be used in JSON?","1812145","48","685"
"40480","Is Java ""pass-by-reference"" or ""pass-by-value""?","1811305","80","2770"
"1128723","How do I determine whether an array contains a particular value in Java?","1809763","25","372"
"653714","Insert results of a stored procedure into a temporary table","1808504","27","396"
"522563","Accessing the index in 'for' loops?","1801448","19","646"
"122102","What is the most efficient way to deep clone an object in JavaScript?","1793031","69","1451"
"1026069","How do I make the first letter of a string uppercase in JavaScript?","1792413","83","516"
"10422949","CSS Background Opacity","1791263","8","77"
"3087975","Make the cursor a hand when a user hovers over a list item","1788001","21","210"
"14551194","How are parameters sent in an HTTP POST request?","1781839","8","454"
"585945","How to align content of a div to the bottom?","1778027","25","191"
"10382929","How to fix java.lang.UnsupportedClassVersionError: Unsupported major.minor version","1772854","47","364"
"4849652","Find all tables containing column with specified name - MS SQL Server","1765724","24","349"
"1960240","jQuery AJAX submit form","1765618","17","336"
"1575141","How to make a div 100% height of the browser window?","1760733","31","667"
"273159","How to determine if a port is open on a Windows server?","1757340","14","135"
"8467424","Echo newline in Bash prints literal \n","1750425","19","273"
"306583","How to get the children of the $(this) selector?","1746395","16","525"
"201101","How to initialize all members of an array to the same value?","1741635","21","345"
"5135019","CSS opacity only to background color, not the text on it?","1733310","11","134"
"229551","How to check if a string contains a substring in Bash","1727006","22","435"
"3239598","How can I get the ID of an element using jQuery?","1724079","19","142"
"26551","How can I pass arguments to a batch file?","1718606","16","233"
"858572","How to make a new List in Java","1714566","24","118"
"679915","How do I test for an empty JavaScript object?","1713287","44","475"
"606191","Convert bytes to a string?","1710822","17","331"
"4216745","Java string to date conversion","1708677","13","307"
"493386","How to print without newline or space?","1701217","21","252"
"394809","Does Python have a ternary conditional operator?","1699348","21","826"
"1014861","Is there a CSS parent selector?","1698903","30","422"
"2485466","Python's equivalent of && (logical-and) in an if-statement","1692423","11","68"
"8328481","Chmod 777 to a folder and all contents","1688645","7","134"
"12555323","Adding new column to existing DataFrame in Python pandas","1686994","23","243"
"2610497","Change an HTML5 input's placeholder color with CSS","1686396","33","1006"
"6996603","Delete a file or folder","1684079","10","253"
"9477906","Regular expression to check if password is ""8 characters including 1 uppercase letter, 1 special character, alphanumeric characters""","1681866","10","39"
"2075337","Uncaught ReferenceError: $ is not defined?","1680882","37","107"
"826782","How to disable text selection highlighting?","1680271","40","1234"
"11179406","jQuery get value of select onChange","1679970","14","118"
"684672","How do I loop through or enumerate a JavaScript object?","1677647","36","644"
"215718","Reset or revert a specific file to a specific revision using Git?","1675423","31","1157"
"2204250","Check if checkbox is checked with jQuery","1675043","21","212"
"492994","Compare two dates with JavaScript","1672947","36","282"
"651038","How do you clone a Git repository into a specific folder?","1670458","17","383"
"1291942","What does ""javascript:void(0)"" mean?","1669332","15","348"
"29973357","How do you format code in Visual Studio Code (VSCode)","1668532","29","433"
"728360","How do I correctly clone a JavaScript object?","1665605","62","764"
"930397","Getting the last element of a list","1665105","11","210"
"175415","How do I get list of all tables in a database using TSQL?","1664908","19","178"
"1098040","Checking if a key exists in a JavaScript object?","1658516","19","461"
"469357","HTML text input allow only numeric input","1658279","60","236"
"37538","How do I determine the size of my array in C?","1652244","21","335"
"2757396","How do I comment out a block of tags in XML?","1652051","6","94"
"263965","How can I convert a string to boolean in JavaScript?","1651652","74","309"
"1672338","How to sleep for five seconds in a batch file/cmd","1648594","30","131"
"3996904","Generate random integers between 0 and 9","1647898","21","143"
"359494","Which equals operator (== vs ===) should be used in JavaScript comparisons?","1647263","49","1817"
"1150163","Stretch and scale a CSS image in the background - with CSS only","1643939","21","187"
"11285613","Selecting multiple columns in a pandas dataframe","1638214","17","227"
"518021","Is arr.__len__() the preferred way to get the length of an array in Python?","1634880","8","58"
"743806","How to split a string into a list?","1628044","9","99"
"81584","What IDE to use for Python?","1626966","1","1898"
"867916","Creating a div element in jQuery","1625424","24","326"
"400212","How do I copy to the clipboard in JavaScript?","1617669","51","927"
"5016505","Grant **all** privileges on database","1612245","10","208"
"3102819","Disable same origin policy in Chrome","1611401","29","608"
"671118","What exactly is RESTful programming?","1608922","32","2303"
"149055","How can I format numbers as currency string in JavaScript?","1599891","62","503"
"60174","How can I prevent SQL injection in PHP?","1595305","28","3524"
"642154","How to convert strings into integers in Python?","1595167","14","92"
"16476924","How to iterate over rows in a DataFrame in Pandas?","1594607","17","364"
"952914","How to make a flat list out of list of lists","1594468","39","877"
"3296644","Hiding the scrollbar on an HTML page","1593112","20","182"
"2941189","How to overlay one div over another div","1590967","8","253"
"2225038","Determine the type of an object?","1590105","12","279"
"14763079","What are the -Xms and -Xmx parameters when starting JVM?","1582439","4","228"
"5175728","How to get the current date/time in Java","1580854","26","163"
"2035193","How to run a PowerShell script","1578194","13","150"
"1514553","How to declare an array in Python?","1576681","16","52"
"769683","Show tables in PostgreSQL","1576649","21","261"
"5410757","Delete lines in a text file that contain a specific string","1571446","14","384"
"224732","SQL update from one Table to another based on a ID match","1569179","22","265"
"5223","Length of a JavaScript object","1568331","36","463"
"957537","How can I display a JavaScript object?","1556642","36","331"
"123198","How do I copy a file in Python?","1556135","16","313"
"7571635","Fastest way to check if a value exist in a list","1553851","12","173"
"586182","How to insert an item into an array at a specific index (JavaScript)?","1553812","14","320"
"1181575","Determine whether an array contains a value","1552981","18","196"
"5703552","CSS center text (horizontally and vertically) inside a div block","1551633","23","218"
"5287538","How can I get the user input in Java?","1549367","27","129"
"4651437","How do I set a variable to the output of a command in Bash?","1548207","14","279"
"5125076","SQL query to select dates between two dates","1547992","20","73"
"4181861","Message 'src refspec master does not match any' when pushing commits in Git","1546330","66","451"
"171027","Add table row in jQuery","1542070","35","478"
"4261133","""Notice: Undefined variable"", ""Notice: Undefined index"", and ""Notice: Undefined offset"" using PHP","1541348","28","221"
"38987","How to merge two dictionaries in a single expression?","1541218","40","945"
"2793324","Is there a simple way to delete a list element by value?","1536620","22","160"
"952924","JavaScript chop/slice/trim off last character in string","1525386","21","233"
"3480771","How do I check if string contains substring?","1521322","13","184"
"105034","Create GUID / UUID in JavaScript?","1520447","52","1252"
"275018","How can I remove a trailing newline?","1520156","26","234"
"2487921","Convert date format yyyy-mm-dd => dd-mm-yyyy","1514953","14","124"
"5071040","Java - Convert integer to string","1514508","7","68"
"94591","What is the maximum value for an int32?","1512615","52","200"
"14290857","SQL SELECT WHERE field contains words","1510534","15","69"
"247483","HTTP GET request in JavaScript?","1509928","24","233"
"576169","Understanding Python super() with __init__() methods","1507720","7","811"
"1144805","Scroll to the top of the page using JavaScript/jQuery?","1506241","37","246"
"806000","How do I give text or an image a transparent background using CSS?","1506108","28","422"
"588040","window.onload vs document.onload","1505246","8","197"
"610406","JavaScript equivalent to printf/String.Format","1503639","45","433"
"12231453","Syntax for creating a two-dimensional array","1500730","11","109"
"2619584","How to set java_home on Windows 7?","1499273","18","110"
"159521","Text editor to open big (giant, huge, large) text files","1496892","2","460"
"101752","I ran into a merge conflict. How can I abort the merge?","1493230","11","411"
"572549","Difference between ""git add -A"" and ""git add .""","1493128","11","1170"
"921789","How to loop through a plain JavaScript object with the objects as members?","1491126","21","379"
"28098","PHP equivalent of .NET/Java's toString()","1489843","24","63"
"4148499","How to style a checkbox using CSS?","1488622","28","285"
"10929453","Read a file line by line assigning the value to a variable","1488499","9","270"
"153724","How to round a number to n decimal places in Java","1487579","29","307"
"278192","View the change history of a file using Git versioning","1486639","22","748"
"2068344","How do I get a YouTube video thumbnail from the YouTube API?","1486628","31","1086"
"2939914","How do I vertically align text in a div?","1486009","28","287"
"5515310","Is there a standard function to check for null, undefined, or blank variables in JavaScript?","1484558","29","646"
"11871520","How can I read input from the console using the Scanner class in Java?","1483342","15","66"
"1251999","How can I replace a newline (\n) using sed?","1483083","41","455"
"22489398","Unsupported major.minor version 52.0","1479801","26","104"
"59895","Get the source directory of a Bash script from within the script itself","1478699","59","1641"
"2052390","Manually raising (throwing) an exception in Python","1473104","7","545"
"9381463","How to create a file in Linux from terminal window?","1472212","17","107"
"822323","How to generate a random int in C?","1469691","24","135"
"9542738","Python: Find in list","1467773","11","190"
"1895476","How to style a <select> dropdown with only CSS?","1463935","24","409"
"5619202","Converting a string to a date in JavaScript","1463565","32","100"
"509211","Understanding slice notation","1463460","31","1333"
"1054984","How can I get column names from a table in SQL Server?","1459651","17","156"
"3397113","How to remove border (outline) around text/input boxes? (Chrome)","1456283","11","210"
"8191459","How do I update Node.js?","1455719","30","247"
"507138","How do I add a class to a given element?","1454345","22","173"
"1293330","How can I do an UPDATE statement with JOIN in SQL?","1454046","16","315"
"11461607","Can't start Eclipse - Java was started but returned exit code=13","1451866","40","151"
"4435169","How do I append one string to another in Python?","1447010","10","99"
"5374311","Convert ArrayList<String> to String[] array","1446961","6","222"
"2591098","How to parse JSON in Java","1446387","31","299"
"9942594","UnicodeEncodeError: 'ascii' codec can't encode character u'\xa0' in position 20: ordinal not in range(128)","1442310","26","361"
"19482970","Get list from pandas DataFrame column headers","1440766","18","188"
"3003145","How to get the client IP address in PHP","1440154","30","278"
"18082","Validate decimal numbers in JavaScript - IsNumeric()","1439627","48","724"
"116292","What is the best IDE for PHP?","1438992","40","227"
"4162749","Convert JS object to JSON string","1437892","18","157"
"5029840","Convert char to int in C and C++","1435431","11","116"
"5612787","Converting an object to a string","1434851","33","185"
"995183","How to allow only numeric (0-9) in HTML  inputbox using jQuery?","1433559","63","341"
"40471","Differences between HashMap and Hashtable?","1431303","34","1237"
"1504717","Why does comparing strings using either '==' or 'is' sometimes produce a different result?","1431042","14","270"
"4906977","How to access environment variable values?","1427237","9","246"
"20039765","How to apply a CSS blur filter to a background image","1426266","15","141"
"4706499","How do you append to a file in Python?","1426141","10","202"
"4362586","Sum a list of numbers in Python","1422826","22","47"
"60208","Replacements for switch statement in Python?","1422025","44","538"
"3964681","Find all files in a directory with extension .txt in Python","1419829","26","424"
"8270092","Remove all whitespace in a string in Python","1415606","9","198"
"7273338","How to vertically align an image inside a div?","1415022","34","594"
"1056728","Where can I find documentation on formatting a date in JavaScript?","1413631","35","372"
"1594952","jQuery disable/enable submit button","1412456","19","128"
"11060506","Is there a ""not equal"" operator in Python?","1411819","8","41"
"79923","What and where are the stack and heap?","1410282","25","4572"
"1987926","How do I grep recursively?","1410276","23","300"
"332872","Encode URL in JavaScript?","1408705","14","466"
"13183630","How to open a Bootstrap modal window using jQuery?","1405557","12","116"
"1135245","How to get a list of user accounts using the command line in MySQL?","1405513","15","210"
"406294","LEFT JOIN vs. LEFT OUTER JOIN in SQL Server","1402702","12","565"
"7352493","Failed to load the JNI shared Library (JDK)","1396028","38","180"
"1995562","NOW() function in PHP","1394163","15","81"
"157944","Create ArrayList from array","1386290","32","587"
"3514784","What is the best way to detect a mobile device?","1385999","51","658"
"1450393","How do you read from stdin?","1381786","21","295"
"1309452","How to replace innerHTML of a div using jQuery?","1380927","12","107"
"141088","What is the best way to iterate over a dictionary?","1378876","27","339"
"9546324","Adding directory to PATH Environment Variable in Windows","1378121","17","145"
"356705","How to send a header using a HTTP request through a curl call?","1378041","9","203"
"7696924","Way to create multiline comments in Python?","1376333","19","160"
"1109022","Close/hide the Android Soft Keyboard","1375938","92","964"
"2600191","How can I count the occurrences of a list item?","1374244","21","315"
"8529656","How do I convert a string to a number in PHP?","1373549","25","72"
"74385","How to convert DateTime to VarChar","1372960","21","84"
"14637979","How to permanently set $PATH on Linux/Unix?","1372090","21","300"
"787839","Resize image proportionally with CSS?","1371471","18","166"
"6416131","Python add new item to dictionary","1370557","3","102"
"2194992","JQuery - $ is not defined","1369800","31","85"
"612231","How can I SELECT rows with MAX(Column value), DISTINCT by another column in SQL?","1369067","17","290"
"11227809","Why is processing a sorted array faster than processing an unsorted array?","1367407","22","10554"
"202813","Adding values to a C# array","1366655","18","63"
"4775722","How to check if an object is an array?","1365923","44","419"
"1795808","&& (AND) and || (OR) in IF statements","1365901","9","32"
"3437786","Get the size of the screen, current web page and browser window","1364881","17","530"
"9249359","Vertically align text within a div","1357092","10","148"
"20547819","vertical-align with Bootstrap 3","1355547","23","312"
"396145","How to vertically center a div for all browsers?","1355526","44","500"
"111102","How do JavaScript closures work?","1350788","86","5490"
"1328025","jQuery UI DatePicker - Change Date Format","1350713","27","120"
"2612802","How to clone or copy a list?","1348747","15","515"
"16670931","Hide scroll bar, but while still being able to scroll","1346620","28","314"
"10335747","How to download Xcode DMG or XIP file?","1345524","1","805"
"5601931","What is the best (and safest) way to merge a Git branch into master?","1345235","8","915"
"9834689","Comparing two branches in Git?","1345141","1","370"
"965053","Extract filename and extension in Bash","1341222","37","761"
"4744751","How do I redirect with JavaScript?","1341038","6","110"
"377644","jQuery Ajax error handling, show custom exception messages","1340622","20","226"
"10636611","How does Access-Control-Allow-Origin header work?","1337919","13","462"
"53162","How can I do a line break (line continuation) in Python?","1334537","8","185"
"179713","How to change the href for a hyperlink using jQuery","1333463","11","220"
"3387427","Remove element by id","1332714","16","219"
"5844672","Delete an element from a dictionary","1331604","14","124"
"1521462","Looping through the content of a file in Bash","1328228","11","342"
"173041","NOT IN vs NOT EXISTS","1327944","10","216"
"9573244","How to check if the string is empty?","1327011","23","203"
"4015324","How to make HTTP POST web request","1327011","10","480"
"1938101","How to initialize an array in Java?","1326212","10","71"
"7485670","Error: Could not find or load main class","1325448","22","54"
"133925","JavaScript post request like a form submit","1323277","29","567"
"554273","Changing the image source using jQuery","1322373","14","120"
"1093322","How do I check what version of Python is running my script?","1318814","19","153"
"943398","Get int value from enum in C#","1315898","26","175"
"13411544","Delete column from pandas DataFrame","1315387","14","297"
"9023672","How do I resolve ""Cannot find module"" error using Node.js?","1313788","26","105"
"1146973","How do I revert all local changes in Git managed project to previous state?","1312209","12","658"
"3559559","How to delete a character from a string using Python","1311821","15","117"
"41107","How to generate a random alpha-numeric string?","1310863","45","515"
"15551779","Open link in new tab or window","1310727","4","104"
"5592345","How to select a radio button by default?","1310718","5","50"
"689746","Altering a column: null to not null","1310164","13","124"
"5951157","'IF' in 'SELECT' statement - choose output value based on column values","1307135","8","131"
"11177954","How do I completely uninstall Node.js, and reinstall from beginning (Mac OS X)","1306779","22","540"
"500606","Deleting array elements in JavaScript - delete vs splice","1306675","24","259"
"1107220","How can I select an element by name with jQuery?","1305941","14","156"
"109383","Sort a Map<Key, Value> by values","1305861","49","583"
"6237295","How can I update NodeJS and NPM to the next versions?","1305573","46","372"
"5189560","Squash my last X commits together using Git","1304849","30","1167"
"5113374","JavaScript check if variable exists (is defined/initialized)","1304827","24","380"
"155188","Trigger a button click with JavaScript on the Enter key in a text box","1302018","26","243"
"2496710","Writing files in Node.js","1300926","17","284"
"1102891","How to check if a String is numeric in Java","1299816","39","176"
"9943771","Adding a favicon to a static HTML page","1299328","17","106"
"291813","Recommended way to embed PDF in HTML?","1295254","20","440"
"1070760","JavaScript function in href vs. onclick","1295108","15","188"
"9622163","Save plot to image file instead of displaying it using Matplotlib","1293751","17","249"
"10659097","jQuery Get Selected Option From Dropdown","1291542","28","159"
"899103","Writing a list to a file with Python","1291273","17","178"
"5805059","How do I make a placeholder for a 'select' box?","1290908","28","275"
"3940128","How can I reverse a list in Python?","1290143","32","136"
"4862178","Remove rows with all or some NAs (missing values) in data.frame","1288466","17","339"
"73663","Terminating a Python script","1288466","9","163"
"5309926","How to get the data-id attribute?","1287932","11","164"
"4888377","How to add a browser tab icon (favicon) for a website?","1287922","10","136"
"18300377","XAMPP, Apache - Error: Apache shutdown unexpectedly","1286472","44","131"
"807878","JavaScript that executes after page load","1285907","22","150"
"1019793","How can I convert String to Int?","1285654","27","67"
"2432764","How to change the URI (URL) for a remote Git repository?","1283967","15","877"
"675442","How to comment out a block of code in Python","1283386","19","73"
"3289601","null object in Python?","1283299","5","131"
"424071","How to list all the files in a commit?","1280674","29","825"
"450903","How to make div not larger than its contents?","1276896","36","351"
"8988855","Include another HTML file in a HTML file","1276178","30","203"
"192249","How do I parse command line arguments in Bash?","1275834","31","863"
"326390","How do I create a Java string from the contents of a file?","1273949","33","446"
"10175812","How to create a self-signed certificate with OpenSSL","1271079","15","718"
"12829608","Bootstrap - Text-align class for inside table","1270994","19","87"
"2115758","How do I display an alert dialog on Android?","1270462","32","237"
"1946426","HTML 5: Is it <br>, <br/>, or <br />?","1270026","24","301"
"791959","Download a specific tag with Git","1268058","14","540"
"5004233","jQuery Ajax POST example with PHP","1267862","12","373"
"166221","How can I upload files asynchronously?","1266177","32","1443"
"805107","Creating multiline strings in JavaScript","1265797","36","376"
"3331353","Transitions on the display: property","1265403","31","372"
"5369682","Get current time and date on Android","1265147","37","210"
"203090","How do I get current datetime on the Windows command line, in a suitable format for using in a filename?","1263832","28","208"
"1133770","Convert a string to an integer in JavaScript?","1261915","24","258"
"8313941","Match the path of a URL, minus the filename extension","1259692","11","4"
"3025361","C# DateTime to ""YYYYMMDDHHMMSS"" format","1259580","15","133"
"8028957","How to fix ""Headers already sent"" error in PHP","1259546","11","627"
